g0,g1,g2,x0,x1,x2,x_0,x_1,x_2
0.521264,0.396476,-2.98847,-0.47827,0.0152774,-0.669653 ,-0.81065,0.0207372,-0.596203
-0.139787,-0.502728,2.85295,-0.218727,-0.530372,-2.12304 ,-0.208427,-0.769203,-1.2151
-0.55294,-0.243698,1.18449,0.623952,0.141817,-0.423595 ,1.01094,0.280098,-0.356487
-0.571992,0.425512,-2.31999,-0.203399,-0.526156,-1.09188 ,-0.359494,-0.712288,-1.39746
0.190704,0.689334,1.49739,-0.197048,0.622856,0.0283164 ,0.196639,0.674872,0.354052
-0.160374,-0.109163,2.43794,-0.327163,-0.598165,0.961288 ,-0.52251,-0.896226,0.955097
-0.0391173,0.565507,-0.960616,0.17818,-0.676323,-0.252584 ,0.327139,-0.959363,-0.211077
0.612759,0.108275,-1.23214,0.299007,0.045693,-3.04271 ,0.617371,0.11899,-2.68794
-0.326399,-0.159775,-1.28927,0.31743,0.481562,1.01744 ,0.467425,0.778338,0.93922
0.157841,-0.654386,0.413709,0.0477705,0.251649,-2.90702 ,0.182424,-0.297737,2.58494
0.132068,0.540202,-0.317529,-0.24534,0.430151,2.96716 ,-0.323846,0.640884,-3.10453
0.608027,0.24114,-0.845944,0.531777,0.149792,-1.43694 ,0.617745,0.257569,-1.4353
-0.0520886,0.668979,-1.80005,-0.633688,-0.261617,-1.57763 ,-0.933859,-0.364158,-1.60634
-0.553293,0.142688,0.362419,-0.0124296,-0.70502,0.904742 ,-0.0746244,-0.934748,0.823719
0.35394,-0.593236,0.536721,0.311972,-0.0473483,1.80244 ,0.346824,-0.59081,1.75133
-0.344871,-0.23345,1.13544,0.121251,-0.421929,-1.79336 ,0.150103,-0.657567,-1.91928
-0.203307,0.68845,1.23293,0.425064,0.467112,-1.97272 ,0.487118,0.686759,-1.83329
0.383145,0.492345,-3.1122,-0.557301,-0.33136,2.25676 ,-0.864596,-0.391084,1.44089
0.18547,0.324623,-0.147025,-0.183484,-0.62734,-0.0243626 ,-0.242989,-0.949404,0.0922302
0.514792,-0.388331,-2.95431,0.351882,0.338241,-1.43437 ,0.492005,-0.254087,-2.67943
-0.401284,0.364551,2.60714,0.515009,-0.0670786,2.27802 ,0.853216,-0.114962,2.34208
-0.0141121,-0.684184,2.56359,-0.613896,0.100529,-0.0301648 ,-0.77887,0.00125551,0.236203
-0.48861,0.366433,-0.367952,-0.438714,-0.140264,2.85839 ,-0.684849,-0.0912726,2.86693
-0.511741,0.208049,1.21002,-0.579638,0.250637,-1.19298 ,-0.896241,0.365468,-1.25305
-0.341898,0.10632,0.467544,-0.0412587,0.214472,2.70676 ,-0.360203,0.0984155,2.70675
-0.415691,-0.212988,3.1191,0.0460796,0.636282,0.089939 ,-0.0146714,0.892163,0.442403
0.107966,0.371186,2.23402,0.622602,-0.0560488,0.563402 ,0.899082,-0.085218,0.552415
-0.660079,-0.0632241,2.99507,0.231658,0.0828035,-0.585485 ,0.416738,0.268277,-1.5265
-0.573996,-0.418033,-0.633802,-0.419045,-0.287018,-0.0170955 ,-0.649478,-0.496194,-0.00364511
0.559348,0.354407,-0.716393,-0.49184,0.463336,0.519023 ,-0.688804,0.671728,1.25043
-0.119586,0.348977,0.979992,0.45887,0.236001,-2.88242 ,0.690391,0.339533,2.92103
-0.681843,-0.186123,2.40883,0.0998568,-0.142365,1.52056 ,0.30399,-0.325286,1.46703
-0.580281,0.0587066,-1.95941,-0.161536,-0.285449,-2.87308 ,-0.260408,-0.488778,-2.44879
-0.0943474,0.454683,1.33316,-0.286317,-0.143994,0.781726 ,-0.532838,-0.256074,-0.401027
0.157426,-0.288436,1.82194,-0.416981,0.0355133,2.58619 ,-0.690941,0.0119312,-2.91542
