g0,g1,g2,x0,x1,x2,x_0,x_1,x_2
-0.615557,0.318515,-1.48042,-0.31634,-0.443222,0.33657 ,-1.08516,-2.00062,0.337487
-0.168511,0.656004,0.25626,0.656442,0.0985868,0.6483 ,1.69405,0.00654043,0.616679
0.551072,0.423043,-1.69459,0.508685,-0.43114,2.0359 ,1.9601,-1.18159,2.72745
0.400674,-0.157092,1.26104,0.268866,-0.563211,-2.74691 ,1.03796,-1.63614,-2.25258
-0.511941,0.205184,-1.1752,-0.198188,0.591152,-1.55505 ,-0.514562,0.71243,-2.58776
0.702415,-0.0970905,-0.896455,-0.451042,-0.298231,1.8682 ,-1.82709,-1.32735,2.48174
0.438442,-0.118009,2.57946,0.36068,-0.563825,3.00028 ,1.28088,-1.88192,3.02436
-0.14772,0.507544,2.22149,-0.576431,-0.0581699,1.87641 ,-1.42472,-0.535959,2.15628
-0.185939,-0.272166,-2.41588,-0.285509,0.472297,-1.12382 ,-0.485796,0.654677,-0.955065
0.385813,-0.40355,2.79414,-0.520063,-0.303008,-2.38257 ,-1.16607,-0.977089,-1.93263
-0.0150809,-0.215975,0.986481,-0.458774,0.512719,1.47853 ,-0.929268,0.972712,1.36597
-0.109015,-0.147441,-2.61233,-0.0933779,-0.351497,0.524839 ,-0.463117,-1.6772,0.525662
-0.468412,0.46965,-2.59557,0.317076,0.468843,1.11878 ,0.232934,1.20258,1.66503
0.0128101,0.134847,1.96105,-0.325945,-0.553759,-1.19385 ,-1.07195,-2.00071,-1.08966
0.260479,-0.0555974,0.498793,-0.129223,-0.206401,1.20371 ,-0.338426,-0.492403,1.2327
0.330566,0.422217,-0.177389,-0.390097,0.144387,-1.65136 ,-0.920428,0.140321,-1.38959
0.0916959,0.624143,0.857634,0.136375,0.371921,0.27933 ,0.102646,0.709201,-0.142361
0.409219,0.399502,-0.370633,0.490095,0.0186967,1.06987 ,1.60751,0.121055,1.33297
-0.0672137,0.519512,-1.05389,-0.554804,-0.0967727,-2.14412 ,-1.83353,-0.430277,-2.18281
-0.261368,0.47834,-2.17594,0.508772,-0.392266,-1.17627 ,2.00176,-1.15261,-0.960614
-0.208214,-0.052686,1.50661,-0.270913,-0.244453,-2.75 ,-1.41229,-1.33167,-2.50705
-0.541059,-0.33637,-2.07856,0.549055,-0.033701,2.81043 ,1.77232,0.013225,2.93316
0.430605,0.23915,-0.0161901,0.20234,0.112145,-1.24448 ,0.653981,0.501055,-0.63553
0.0361015,0.159886,-0.568985,-0.464413,-0.149753,-2.63879 ,-1.76539,-0.722438,-2.61753
-0.100349,0.380833,-2.60309,-0.301975,-0.494482,1.0483 ,-1.1634,-1.97946,1.0435
0.0376489,-0.269558,2.23237,-0.672485,-0.224037,-3.03469 ,-1.80125,-0.790289,-2.36471
0.547455,-0.22707,-2.39407,0.419067,-0.409534,0.65315 ,1.45552,-1.08922,1.95187
0.364444,0.323156,-1.25095,0.544211,-0.350693,1.59137 ,2.0023,-1.42717,1.59301
-0.238454,0.12667,-1.5953,-0.330852,0.290309,-0.742034 ,-0.594425,0.462647,-0.400746
0.4563,0.492646,1.62405,0.696423,0.0516573,1.73357 ,1.51069,0.381572,2.19961
0.567686,-0.237001,-1.02931,0.193874,-0.32376,-1.20053 ,0.367012,-0.561711,-0.436287
-0.0184367,-0.390023,2.54308,-0.048783,-0.235598,-0.371093 ,-0.0282742,-0.579309,-0.356551
-0.483844,-0.086963,1.18087,-0.0914692,0.328684,2.2104 ,-0.319314,0.411196,2.35425
-0.685009,0.0550608,2.35531,0.106881,0.618203,0.199444 ,0.0814565,1.21696,0.0631225
-0.0684429,-0.364134,-0.0302932,0.121879,0.518849,2.99986 ,0.240132,0.862163,2.52577
0.246211,0.23784,1.45141,-0.0652275,0.265262,-0.829504 ,0.346812,0.249825,-0.81519
-0.170282,-0.507938,2.38837,-0.390723,-0.0458322,1.46722 ,-0.66934,-0.442833,0.936848
0.288139,-0.626417,-2.90337,0.022492,-0.592948,-1.03072 ,0.383603,-1.13767,-1.09247
-0.573099,0.0984226,-1.05731,-0.42796,0.453293,3.0692 ,-0.572196,-0.24552,-3.04296
0.155201,-0.272118,-0.631918,-0.470747,-0.477875,0.132426 ,-1.55201,-1.92021,0.130564
-0.0141862,0.0762282,0.899893,0.270581,-0.0768004,-1.37237 ,0.711637,-0.14402,-1.44931
0.415038,0.336451,-2.94703,0.467607,-0.305618,2.39012 ,1.73617,-0.439456,2.77915
-0.0857682,-0.435732,2.5564,0.52837,-0.339254,2.17398 ,1.55147,-1.28249,2.02478
-0.0838927,-0.606756,-3.06843,-0.456973,0.199978,-2.15224 ,-0.885425,0.261607,-1.78385
-0.532124,0.234107,2.29598,0.25205,-0.368743,2.47952 ,1.13813,-1.60564,2.11399
-0.664579,-0.214097,2.19516,-0.649861,0.0144514,-1.69756 ,-0.731139,-0.96399,-1.6568
-0.326086,-0.183756,2.37161,-0.360757,-0.424176,2.06189 ,-0.874503,-1.02164,-2.91658
-0.246689,-0.560923,-0.0764328,0.0218726,-0.585681,0.804032 ,-0.137002,-0.888787,1.47005
-0.338506,-0.0589767,0.440313,0.199345,0.28277,1.28038 ,0.401099,0.64071,1.07891
-0.241519,-0.219259,1.83513,-0.284342,0.192944,0.967689 ,-0.595234,0.41069,1.26363
0.104564,0.365846,-2.70287,0.553992,-0.379415,1.29908 ,2.0001,-1.34823,1.14067
-0.293994,-0.313334,-2.76175,0.264273,0.0218791,-1.00594 ,0.678515,0.0164283,-1.38009
-0.49003,-0.0731506,2.61504,-0.491831,0.283379,0.631996 ,-0.730846,0.416592,0.647208
-0.512096,0.449998,0.178209,-0.284885,0.299469,0.786194 ,-0.688618,0.526531,1.36147
0.11951,0.411492,0.799633,-0.133879,-0.292986,0.454117 ,-0.64701,-1.56881,0.511432
0.639819,-0.251005,1.25259,-0.410006,-0.265958,-1.14841 ,-1.02242,-0.886389,0.046608
0.25521,-0.578348,-0.511305,0.415445,0.49242,-2.66113 ,0.617925,0.722892,-2.66113
0.557095,-0.235122,-0.184961,0.346462,-0.0742679,-0.32203 ,1.00325,-0.464076,-0.326251
-0.353863,-0.377045,-2.80205,0.171594,-0.169219,-0.956986 ,0.241579,-0.399638,-1.20204
-0.17091,-0.329427,-0.923771,0.119388,0.221133,2.02694 ,0.0632192,0.487819,1.94875
-0.105102,-0.540066,-0.854522,-0.558674,0.166683,1.96754 ,-0.809553,0.171089,1.86404
-0.588611,0.188902,2.93408,-0.37893,0.0746575,-0.329901 ,-0.639242,0.222583,-0.891553
-0.206805,-0.0711548,1.80921,0.455916,-0.0156631,-2.42841 ,1.44053,-0.0646942,-2.43396
0.250879,-0.147037,-0.56122,0.0667618,-0.692688,2.81471 ,0.490509,-1.81541,2.97906
-0.277447,-0.263099,-2.48238,-0.307942,-0.591266,-1.79256 ,-1.25789,-1.42531,-2.30129
-0.334407,0.172306,1.32046,0.0831663,0.710581,2.16399 ,0.102843,1.26555,1.96048
0.0347208,0.396067,2.38987,-0.615815,-0.0222199,-0.28724 ,-1.87053,-0.0366255,-0.336336
-0.458422,0.537923,-2.46026,-0.457814,0.525113,1.6798 ,-0.441315,0.574788,1.59026
-0.664859,-0.145339,0.68393,0.174845,-0.299353,-0.431459 ,0.422973,-0.831481,-0.484287
0.491314,0.0585637,-3.06308,-0.42101,0.0222083,2.18545 ,-0.942035,-0.0471917,2.10508
-0.388049,0.606322,-2.65636,0.147086,-0.12574,2.057 ,0.407901,-0.315508,2.22426
0.331712,-0.534997,-0.321992,-0.460403,-0.151096,-0.132097 ,-0.982661,-0.472989,-0.0400077
-0.25488,0.127928,2.38731,0.201828,0.403292,2.59272 ,0.175674,0.975128,2.91851
-0.199794,-0.0392357,2.5689,-0.354616,-0.268413,-1.77293 ,-2.00029,-1.44934,-1.84068
-0.127823,0.533239,-2.843,-0.264109,0.347185,0.482801 ,-0.383338,0.876006,0.0257258
0.47972,0.425462,0.774988,0.496154,0.435249,-2.52467 ,0.958693,1.13456,-1.78731
0.449745,-0.15789,2.58586,0.46906,0.252263,-2.459 ,0.784384,0.273443,-2.65523
0.574571,0.29903,-3.08606,0.183551,-0.00775436,0.277559 ,0.233966,-0.247418,0.333273
0.322496,0.4875,-0.588399,0.579237,-0.0865012,0.1549 ,1.5527,-0.682581,0.0481953
0.497832,0.135388,1.44237,-0.590399,-0.229692,2.08521 ,-1.72403,-0.176264,1.15332
0.0671298,-0.254793,1.8662,0.591094,0.206603,1.22055 ,1.47389,0.643947,1.21465
-0.309269,-0.324608,2.78381,0.394482,0.184339,0.104034 ,0.780189,0.275196,-0.12451
0.00503765,0.108174,-0.640443,-0.28813,-0.289478,0.908174 ,-2.00074,-1.4361,0.545891
0.302839,-0.408373,2.91662,-0.0627185,-0.277856,-0.892459 ,-0.152874,-0.629408,-0.784864
-0.651168,0.0420251,0.976209,0.584298,0.365351,-1.90966 ,0.976552,0.741353,-2.7433
0.49573,0.406809,-0.709172,0.599463,-0.374915,-0.457898 ,1.5666,-1.50699,-1.06043
-0.498817,-0.158301,-1.70602,-0.615175,-0.0975189,-2.14403 ,-1.1144,-0.295189,-2.36334
-0.391477,0.580053,-2.31871,-0.0525017,0.200863,1.27703 ,-1.05385,0.974131,0.835679
-0.577353,-0.116296,-2.18897,-0.104346,0.26438,-0.09239 ,-1.14983,-0.677649,-0.00998023
-0.142307,-0.402755,-1.22501,0.23129,0.396497,1.08446 ,0.397392,0.705902,0.944961
0.602168,-0.202424,2.73013,0.557048,0.328478,2.3043 ,0.545716,-1.09159,2.26515
0.510089,0.302194,1.79699,0.329105,0.0235201,1.93508 ,1.39131,1.19325,2.75969
-0.489464,0.30115,1.29376,-0.131094,-0.640918,0.819093 ,-0.142542,-2.00217,0.847393
0.147844,-0.653806,0.119487,0.341547,-0.234453,-2.40381 ,0.554417,-0.499397,-2.31934
-0.696386,-0.0192049,-1.37936,-0.0215528,-0.603894,-0.88427 ,-0.115098,-2.00127,-0.906953
0.0685112,-0.194971,1.57007,-0.396349,-0.194439,2.95973 ,-1.41774,-0.750181,-3.13311
-0.0115865,0.480839,3.01408,-0.00172665,0.142325,-1.4384 ,0.0169161,0.857982,-1.91351
0.171928,-0.57033,-0.120429,0.687174,0.174292,1.10268 ,1.02228,0.189339,1.46954
0.294299,0.411079,0.756344,-0.227016,0.656345,2.68536 ,-0.414187,1.43162,2.7907
-0.34886,0.350484,2.88156,0.300859,0.58641,-1.11788 ,0.583721,1.57135,-1.14374
