g0,g1,g2,x0,x1,x2,x_0,x_1,x_2
-0.216862,-0.624223,1.72584,-0.264439,-0.520797,-2.62685 ,-0.214267,-0.542868,-2.55997
0.0028138,0.715142,-0.215393,0.279702,-0.413881,-0.892453 ,0.48067,-0.665892,-0.888062
0.164763,0.206962,0.668148,0.367234,-0.505398,-2.65961 ,0.533486,-0.681045,-2.37247
0.278002,0.11299,-2.47752,0.550417,-0.0580311,-0.549073 ,0.737036,-0.00908019,-0.571008
-0.0984066,-0.353935,0.127141,-0.0358796,-0.404535,1.84255 ,-0.187899,-0.7021,1.16067
0.0326802,0.414904,1.72884,-0.0474254,0.582163,0.474363 ,-0.0170301,0.799421,0.0769677
0.524166,0.2277,-1.26226,-0.244848,0.521462,0.501349 ,-0.22717,0.750375,-0.2807
-0.65688,0.0487697,0.50724,0.588236,0.172628,-1.19623 ,0.715178,0.2358,-1.11479
-0.239248,-0.339555,0.610519,-0.0865306,0.459648,-2.87883 ,-0.153811,0.618208,-3.0867
-0.611602,-0.0747251,-0.00479197,0.378241,-0.113284,-0.188946 ,0.635252,-0.180493,-0.599122
0.0358017,-0.424128,1.04208,0.393564,-0.564168,-2.75068 ,0.628354,-0.858866,-2.53912
-0.471681,0.319263,-0.710784,0.219844,-0.324886,2.22672 ,0.52757,-0.638115,2.35065
0.0731356,0.400894,-0.132703,0.5101,0.287882,-1.04276 ,0.589975,0.388318,-0.36368
-0.45884,-0.464924,0.586163,0.0192105,-0.304345,-0.407638 ,0.0813373,-0.509944,-0.0422329
0.354003,-0.184301,-0.787277,-0.524851,-0.449693,-1.06817 ,-0.963488,-0.716603,-1.09114
-0.504774,-0.0938704,2.44229,-0.409717,0.507236,-1.91194 ,-0.675613,0.323054,-0.93756
-0.355331,0.00388664,-3.10682,0.398295,-0.365027,-2.99152 ,0.489883,-0.444089,-2.97392
-0.493328,0.448457,-1.44285,-0.15314,0.320251,-1.09171 ,-0.293705,0.535219,-1.95334
-0.21378,0.0787405,0.197053,0.478545,-0.130996,-2.91994 ,0.671413,-0.258093,-2.91927
0.171481,0.503673,-1.33132,0.0189533,-0.297054,2.05989 ,-0.0158897,-0.43742,2.03624
