g0,g1,g2,x0,x1,x2,x_0,x_1,x_2
-0.0141326,0.433005,-1.2633,0.188311,-0.0561343,0.848708 ,0.459162,-0.233501,0.760506
0.312442,0.557984,-2.12941,-0.488089,0.470253,-1.76396 ,-0.688993,0.693192,-1.86898
0.497191,-0.338547,-1.68318,-0.535002,0.133439,1.82162 ,-1.0899,0.19961,1.67526
0.447765,-0.551936,2.98118,0.391837,0.174197,-2.16508 ,0.63367,-0.498895,-2.41359
0.110672,-0.654322,-2.0763,0.0664793,-0.330928,0.504853 ,-0.0643258,-0.752184,0.505304
0.248684,0.629342,2.20493,0.375523,0.391184,1.09963 ,0.31271,0.545316,1.0899
-0.297943,0.063407,-3.06045,-0.0946796,-0.347405,-1.59632 ,-0.155255,-0.927939,-1.67493
-0.37898,0.341292,1.22936,-0.117926,-0.453988,-0.404905 ,0.024159,-1.39748,0.430407
0.382515,0.21084,-0.611414,-0.694787,0.0919379,2.97717 ,-1.9586,0.0935699,-2.84458
-0.685468,0.161059,-2.34889,0.239959,-0.592025,-2.16256 ,0.936686,-1.4622,-2.14468
0.119707,0.205233,1.71821,-0.0672639,0.169139,-0.48163 ,-0.0649614,0.173522,-0.486426
-0.436913,0.00101579,0.698788,0.426192,0.0407207,1.15228 ,1.05203,-0.276524,0.802179
-0.390381,-0.310469,-2.3242,-0.0273458,-0.695064,-0.31271 ,0.0317871,-1.73505,0.287023
0.684496,-0.036093,2.24871,-0.344084,-0.389186,-2.78945 ,-0.869253,-1.35814,-2.72035
-0.509368,0.162219,2.37678,-0.103969,0.387533,0.713906 ,-0.4071,1.08656,0.112528
0.359167,0.0929069,-2.18492,0.163405,0.497061,-1.20749 ,0.265614,0.6121,-1.17735
-0.231866,-0.514343,1.14085,0.101822,-0.547987,0.981132 ,0.190245,-0.674066,0.869617
0.013214,0.483915,-1.89288,-0.292325,0.419958,2.46302 ,-0.722278,1.67227,1.43581
0.368203,-0.267431,1.10161,0.222658,0.294371,0.682747 ,0.285842,0.631167,0.68117
0.227986,-0.477266,1.65708,0.329703,-0.433082,-0.467015 ,0.564364,-0.856504,-0.726919
-0.0546678,-0.243969,0.475222,0.0877944,0.254998,-1.87621 ,0.11853,0.557666,-2.10531
0.00240764,-0.232286,1.55583,0.197954,-0.215594,0.533865 ,0.305283,-0.296394,0.756065
-0.195183,-0.294316,-1.11495,-0.10603,0.634521,1.00486 ,-0.224232,0.97656,0.941653
